Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      0.011384341870819778    V_Activity[2017,summer,5,LOCAL,2017]
      0.0007780021570943373   V_Activity[2017,summer,5,TRANS,2017]
      0.011972347604148283    V_Activity[2017,summer,6,DIST,2017]
      0.0023798827518019187   V_Activity[2017,summer,6,EC_SOLPV,2017]
      0.010612603433259449    V_Activity[2017,summer,6,ED_BATT,2017]
      2.3798827518019188e-05  V_Activity[2017,summer,6,ED_SOLPV,2017]
      0.006699593147518349    V_Activity[2017,summer,6,IMPSOLAR,2017]
      0.011972347604148283    V_Activity[2017,summer,6,LOCAL,2017]
      0.0022370897866938037   V_Activity[2017,summer,6,TRANS,2017]
      0.012364040421839053    V_Activity[2017,summer,7,DIST,2017]
      0.011272242659007944    V_Activity[2017,summer,7,EC_SOLPV,2017]
      0.0025860365941994985   V_Activity[2017,summer,7,ED_BATT,2017]
      0.00011272242659007945  V_Activity[2017,summer,7,ED_SOLPV,2017]
      0.031732420270819815    V_Activity[2017,summer,7,IMPSOLAR,2017]
      0.012364040421839053    V_Activity[2017,summer,7,LOCAL,2017]
